Veículo,Autor,Título ,Link,Data,Tema de interesse;;
Estado de S. Paulo,---,Celulares poderão desbancar bilhete único,https://www.estadao.com.br/sao-paulo/celulares-poderao-desbancar-bilhete-unico-imp-/,22/01/2013,Tecnologias de pagamento;;
Estado de S. Paulo,---,SPTrans põe raio X de empresas de ônibus na internet,https://www.estadao.com.br/brasil/sptrans-poe-raio-x-de-empresas-de-onibus-na-internet/,12/07/2013,Análise e abertura de dados;;
G1,Beatriz Magalhães,Passageiros dizem que Bilhete Único ficou 'sem saldo' após falha,https://g1.globo.com/sao-paulo/noticia/2013/10/passageiros-dizem-que-bilhete-unico-ficou-sem-saldo-apos-falha.html,24/10/2013,Contratos de TI;;
Estado de S. Paulo,---,Relógio vai servir como Bilhete Único,https://www.estadao.com.br/sao-paulo/relogio-vai-servir-como-bilhete-unico-imp-/,23/11/2013,Tecnologias de pagamento;;
Estado de S. Paulo,---,Bilhete Único faz 10 anos e ainda falha,https://www.estadao.com.br/sao-paulo/bilhete-unico-faz-10-anos-e-ainda-falha-imp-/,18/05/2014,Contratos de TI;;
Estado de S. Paulo,Renata Okumura,Celular já recarrega Bilhete Único,https://www.estadao.com.br/sao-paulo/celular-ja-recarrega-bilhete-unico/,02/07/2014,Tecnologias de pagamento;;
Estado de S. Paulo,---,Empresas de ônibus antecipam tecnologias exigidas em novo edital,https://www.estadao.com.br/sao-paulo/empresas-de-onibus-antecipam-tecnologias-exigidas-em-novo-edital/,02/09/2014,Contratos de TI;;
Folha de S. Paulo,Rafael Barifouse,São Paulo testa software para modernizar gestão dos ônibus,https://www1.folha.uol.com.br/bbc/2015/01/1582408-sao-paulo-testa-software-para-modernizar-gestao-dos-onibus-da-cidade.shtml,30/01/2015,Contratos de TI;;
G1,---,Saiba quem tem direito e como obter tarifa zero no transporte público de SP,https://g1.globo.com/sao-paulo/noticia/2015/02/saiba-quem-tem-direito-e-como-obter-tarifa-zero-no-transporte-publico-de-sp.html,20/02/2015,Regras para uso;;
Carta Capital,---,SPTrans não divulga política de privacidade do bilhete único,https://www.cartacapital.com.br/sociedade/sptrans-nao-divulga-politica-de-privacidade-do-bilhete-unico-4526/,07/04/2015,Cadastramento obrigatório;;
Diário do Transporte,Adamo Bazani,Biometria Facial vai permitir uso mais fácil de gratuidades nos ônibus de São Paulo,https://diariodotransporte.com.br/2015/11/30/biometria-facial-vai-permitir-uso-mais-facil-de-gratuidades-nos-onibus-de-sao-paulo/,30/11/2015,Reconhecimento facial;;
G1,---,Cadastro para passe livre de desempregado é feito pela internet,https://g1.globo.com/sao-paulo/noticia/2016/02/cadastro-para-passe-livre-de-desempregado-e-feito-pela-internet.html,15/02/2016,Regras para uso;;
G1,---,Nova regra para créditos em bilhete único entra em vigor nesta segunda,https://g1.globo.com/sao-paulo/noticia/2016/08/nova-regra-para-creditos-em-bilhete-unico-entra-em-vigor-nesta-segunda.html,01/08/2016,Cadastramento obrigatório;;
Folha de S. Paulo,Diogo Bercito,Doria fala sobre polêmica de vídeo e promete zelo na venda de dado pessoal,https://www1.folha.uol.com.br/cotidiano/2017/02/1858971-doria-fala-sobre-polemica-de-video-e-promete-zelo-na-venda-de-dado-pessoal.shtml,15/02/2017,Projeto de concessão;;
"Estado de S. Paulo,Fabio Leite,""Contra fraude, SPTrans anuncia troca de 15 milhões de bilhetes únicos"",https://www.estadao.com.br/sao-paulo/por-dentro-da-metropole/contra-fraude-sptrans-anuncia-troca-de-15-milhoes-de-bilhetes-unicos/,16/02/2017,Contratos de TI";;
Folha de S. Paulo,Ronaldo Lemos,Proposta de Doria de vender os dados do Bilhete Único é ilegal,https://www1.folha.uol.com.br/colunas/ronaldolemos/2017/02/1860214-proposta-de-doria-de-vender-os-dados-do-bilhete-unico-e-ilegal.shtml,20/02/2017,Projeto de concessão;;
"Folha de S. Paulo,Fernando Marcato,""Concessão do Bilhete Único é legal";;
",https://www1.folha.uol.com.br/opiniao/2017/03/1864881-concessao-do-bilhete-unico-e-lega.shtml,09/03/2017,Projeto de concessão
Diário do Transporte,Adamo Bazani,“Privatização” do Bilhete Único já tem ao menos dez interessados,https://diariodotransporte.com.br/2017/03/13/privatizacao-do-bilhete-unico-ja-tem-ao-menos-dez-interessados/,13/03/2017,Projeto de concessão
Estado de S. Paulo,Bruno Ribeiro; Mariana Diegues,Falha permite fraude no bilhete único pelo celular,https://www.estadao.com.br/sao-paulo/falha-permite-fraude-no-bilhete-unico-pelo-celular/,23/03/2017,Tecnologias de pagamento
Folha de S. Paulo,Walter Porto,Falta de transparência e pressa abalam programa de privatização de Doria,https://www1.folha.uol.com.br/cotidiano/2017/03/1870429-falta-de-transparencia-e-pressa-abalam-programa-de-privatizacao-de-doria.shtml,28/03/2017,Projeto de concessão
Folha de S. Paulo,Alencar Izidoro,Doria quer importar 'ônibus digital' e usar Bilhete Único até para pagar táxi,https://www1.folha.uol.com.br/cotidiano/2017/04/1874814-doria-quer-importar-onibus-digital-e-usar-bilhete-unico-ate-para-pagar-taxi.shtml,12/04/2017,Projeto de concessão
Folha de S. Paulo,Guilherme Seto,Doria diz que concessão levará Bilhete Único ao celular e combaterá fraudes,https://www1.folha.uol.com.br/cotidiano/2017/08/1913784-doria-diz-que-concessao-levara-bilhete-unico-ao-celular-e-combatera-fraudes.shtml,28/08/2017,Projeto de concessão
Diário do Transporte,Adamo Bazani; Alexandre Pelegi,Doria e Alckmin lançam edital para estudos da concessão do Bilhete Único,https://diariodotransporte.com.br/2017/08/29/estudos-doria-e-alckmin-lancam-edital-para-concessao-do-bilhete-unico/,29/08/2017,Projeto de concessão
Folha de S. Paulo,Guilherme Seto,Mercados e sacolões empacam projeto de concessões de Doria na Câmara,https://www1.folha.uol.com.br/cotidiano/2017/09/1920384-mercados-e-sacoloes-empacam-projeto-de-concessoes-de-doria-na-camara.shtml,20/09/2017,Projeto de concessão
Estado de S. Paulo,---,Empresas poderão vender dados de frequentadores dos parques municipais,https://www.estadao.com.br/sao-paulo/empresas-poderao-vender-dados-de-frequentadores-dos-parques-municipais/,04/10/2017,Projeto de concessão
Folha de S. Paulo,Flamínio Fichmann,O novo plano da prefeitura para os ônibus traz riscos ao transporte em São Paulo? NÃO,https://www1.folha.uol.com.br/opiniao/2018/01/1948419-o-novo-plano-da-prefeitura-para-os-onibus-traz-riscos-ao-transporte-em-sao-paulo-nao.shtml,06/01/2018,Análise e abertura de dados
Folha de S. Paulo,Leonardo Neiva,Falta de cultura para análise de dados emperra uso de big data no trânsito,https://www1.folha.uol.com.br/seminariosfolha/2018/01/1952374-falta-de-cultura-para-analise-de-dados-emperra-uso-de-big-data-no-transito.shtml,22/01/2018,Análise e abertura de dados
Folha de S. Paulo,Taís Hirata,App de transportes Moovit planeja parcerias com prefeituras no Brasil,https://www1.folha.uol.com.br/mercado/2018/02/app-de-transportes-moovit-planeja-parcerias-com-prefeituras-no-brasil.shtml,21/02/2018,Contratos de TI
Folha de S. Paulo,Julio Wiziack,Lei de Dados barra planos da Prefeitura de vender informações do Bilhete Único,https://www1.folha.uol.com.br/mercado/2018/07/lei-de-dados-barra-planos-da-prefeitura-de-vender-informacoes-do-bilhete-unico.shtml,13/07/2018,Projeto de concessão
Diário do Transporte,Adamo Bazani,Portal 156 da Prefeitura passa a oferecer novos serviços da SPTrans,https://diariodotransporte.com.br/2018/11/06/portal-156-da-prefeitura-passa-a-oferecer-novos-servicos-da-sptrans/,06/11/2018,Contratos de TI
Diário do Transporte,Jessica Marques,Para combater irregularidades, SPTrans zera cadastro de estudantes anualmente"",https://diariodotransporte.com.br/2019/01/21/para-combater-irregularidades-sptrans-zera-cadastro-de-estudantes-anualmente/,21/01/2019,Regras para uso";;
G1,---,Prefeitura de SP deixará de emitir Bilhete Único sem identificação e reduzirá embarques com vale-transporte,https://g1.globo.com/sp/sao-paulo/noticia/2019/02/24/prefeitura-de-sp-deixara-de-emitir-bilhete-unico-sem-identificacao-e-reduz-embarques-com-vale-transporte.ghtml,24/02/2019,Cadastramento obrigatório;;
G1,---,Veja passo a passo de como fazer cadastro de bilhete único com identificação em SP,https://g1.globo.com/sp/sao-paulo/noticia/2019/02/28/veja-passo-a-passo-de-como-fazer-cadastro-de-bilhete-unico-com-identificacao-em-sp.ghtml,28/02/2019,Cadastramento obrigatório;;
UOL,---,Bilhete Único: quem ganha e quem perde com as mudanças em São Paulo,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2019/02/28/mudancas-bilhete-unico-vale-transporte.htm,28/02/2019,Cadastramento obrigatório;;
Agora,Leonardo Zvarick,Reconhecimento facial bloqueia 331 mil Bilhetes Únicos em SP,https://agora.folha.uol.com.br/sao-paulo/2019/06/reconhecimento-facial-bloqueia-331-mil-bilhetes-unicos-em-sp.shtml,12/06/2019,Reconhecimento facial;;
Diário do Transporte,Adamo Bazani,Auditoria do TCM mostra que sistema de Bilhete Único de São Paulo utiliza tecnologia ultrapassada e insegura,https://diariodotransporte.com.br/2019/07/11/auditoria-do-tcm-mostra-que-sistema-de-bilhete-unico-de-sao-paulo-utiliza-tecnologia-ultrapassada-e-insegura/,11/07/2019,Contratos de TI;;
G1,Beatriz Magalhães,Tarifa de ônibus em SP poderá ser paga com cartões de crédito e débito,https://g1.globo.com/sp/sao-paulo/noticia/2019/09/12/tarifa-de-onibus-em-sp-podera-ser-paga-com-cartoes-de-credito-e-debito.ghtml,12/09/2019,Tecnologias de pagamento;;
G1,---,Pagamento da tarifa do ônibus com cartões de crédito e débito começa nesta segunda em SP,https://g1.globo.com/sp/sao-paulo/noticia/2019/09/16/pagamento-da-tarifa-do-onibus-com-cartoes-de-credito-e-debito-comeca-nesta-segunda-em-sp.ghtml,16/09/2019,Tecnologias de pagamento;;
Estado de S. Paulo,João Fábio de Valentin,Tecnologia no setor de mobilidade vai muito além do transporte de passageiros,https://www.estadao.com.br/politica/blog-do-fausto-macedo/tecnologia-no-setor-de-mobilidade-vai-muito-alem-do-transporte-de-passageiros/,26/09/2019,Tecnologias de pagamento;;
G1,Filippo Mancuso,Prefeitura de SP desiste de sistema anti-fraude no bilhete único de transporte após pagar R$ 21 milhões,https://g1.globo.com/sp/sao-paulo/noticia/2020/02/06/prefeitura-de-sp-desiste-de-sistema-anti-fraude-no-bilhete-unico-de-transporte-apos-pagar-r-21-milhoes.ghtml,06/02/2020,Contratos de TI;;
G1,---,Cancelamento de Bilhetes Únicos por recarga falsa aumenta 50% em SP,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/02/cancelamento-de-bilhetes-unicos-por-recarga-falsa-aumenta-50percent-em-sp.ghtml,02/03/2020,Contratos de TI;;
Diário do Transporte,Jessica Marques,SPTrans vai bloquear 15 mil Bilhetes Únicos irregulares ativos registrados com dados de pessoas já falecidas,https://diariodotransporte.com.br/2020/05/07/sptrans-vai-bloquear-15-mil-bilhetes-unicos-irregulares-ativos-registrados-com-dados-de-pessoas-ja-falecidas/,07/05/2020,Cadastramento obrigatório;;
Olhar Digital,Liliane Nakagawa,[EXCLUSIVO] Site da SPTrans expõe dados sensíveis de quase 37 milhões de usuários do Bilhete Único,https://olhardigital.com.br/2020/07/08/noticias/exclusivo-site-da-sptrans-expoe-dados-sensiveis-de-quase-37-milhoes-de-usuarios-do-bilhete-nico/,08/07/2020,Vazamento de dados;;
"Estado de S. Paulo,---,""Financiamento do transporte público, de subsídio a pedágio urbano"",https://www.estadao.com.br/brasil/financiamento-do-transporte-publico-de-subsidio-a-pedagio-urbano/,19/08/2020,Tecnologias de pagamento";;
Folha de S. Paulo,Guilherme Seto,Russomano pediu em 2019 que empresa em seu nome pudesse validar Bilhete Único,https://www1.folha.uol.com.br/colunas/painel/2020/10/russomano-pediu-em-2019-que-empresa-em-seu-nome-pudesse-validar-bilhete-unico.shtml,04/10/2020,Tecnologias de pagamento;;
G1,Tatiana Santiago,Russomano diz que desistiu de homologar sua empresa para vender e validar o Bilhete Único na cidade de São Paulo,https://g1.globo.com/sp/sao-paulo/eleicoes/2020/noticia/2020/10/06/russomano-promete-revitalizar-mercados-municipais-de-sp-e-acabar-com-fraudes-no-bilhete-unico.ghtml,06/10/2020,Tecnologias de pagamento;;
G1,Gustavo Galvão; César Galvão,Problemas com bilhete único lideram ranking de reclamações da Ouvidoria da Prefeitura de SP,https://g1.globo.com/sp/sao-paulo/noticia/2020/12/09/problemas-com-bilhete-unico-lideram-ranking-de-reclamacoes-da-ouvidoria-da-prefeitura-de-sp.ghtml,09/12/2020,Reconhecimento facial;
Estado de S. Paulo,Heraldo Vaz,Summit Mobilidade: Mudança de bilhetagem cria mais opções para o usuário,https://www.estadao.com.br/brasil/mudanca-de-bilhetagem-cria-mais-opcoes-para-o-usuario/,28/05/2021,Tecnologias de pagamento;;
"G1,---,""Transporte público de SP deixará de aceitar 2,6 milhões de Bilhetes Únicos anônimos a partir de setembro"",https://g1.globo.com/sp/sao-paulo/noticia/2021/06/17/transporte-publico-de-sp-deixara-de-aceitar-26-milhoes-de-bilhetes-unicos-anonimos-a-partir-de-setembro.ghtml,17/06/2021,Cadastramento obrigatório";;
UOL,---,SP: Veja como associar CPF ao Bilhete Único; prazo se encerra amanhã,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/07/15/como-associar-bilhete-unico-cpf-sao-paulo-sp.htm,15/07/2021,Cadastramento obrigatório;
Folha de S. Paulo,Daniele Madureira,Fatia do comércio eletrônico nas vendas do varejo estaciona no segundo trimestre,https://www1.folha.uol.com.br/mercado/2021/08/fatia-do-comercio-eletronico-nas-vendas-do-varejo-estaciona-no-segundo-trimestre.shtml,24/08/2021,Tecnologias de pagamento;;
G1,SP2,Bilhete Único sem nome e CPF do dono deixa de funcionar em SP a partir desta quarta-feira,https://g1.globo.com/sp/sao-paulo/noticia/2021/09/01/bilhete-unico-sem-nome-e-cpf-do-dono-deixa-de-funcionar-em-sp-a-partir-desta-quarta-feira.ghtml,01/09/2021,Cadastramento obrigatório;;
"G1,Rodrigo Rodrigues,""Um ano e meio depois, SPTrans ainda não conseguiu reaver R$ 30 milhões do consórcio contratado para reformular Bilhete Único"",https://g1.globo.com/sp/sao-paulo/noticia/2021/09/06/um-ano-e-meio-depois-sptrans-ainda-nao-conseguiu-reaver-r-30-milhoes-do-consorcio-contratado-para-reformular-bilhete-unico.ghtml,06/09/2021,Contratos de TI";;
"Tecnoblog,Janaína Dantas,""Como funciona o cartão Top, do Governo de São Paulo"",https://tecnoblog.net/responde/como-funciona-o-cartao-top-do-governo-de-sao-paulo/,25/03/2022,Tecnologias de pagamento";;
Estado de S. Paulo,---,Especialistas apontam caminhos para a integração entre transporte público e aplicativos,https://www.estadao.com.br/brasil/especialistas-apontam-caminhos-para-a-integracao-entre-transporte-publico-e-aplicativos/,19/05/2022,Tecnologias de pagamento;;
Estado de S. Paulo,Mário Curcio,Digitalização da bilhetagem vai impulsionar mobilidade como serviço,https://mobilidade.estadao.com.br/inovacao/digitalizacao-da-bilhetagem-vai-impulsionar-mobilidade-como-servico/,15/06/2022,Tecnologias de pagamento;;
Estado de S. Paulo,Sergio Avelleda,Transporte público: acesso ou bloqueio?,https://www.estadao.com.br/opiniao/espaco-aberto/transporte-publico-acesso-ou-bloqueio/,20/06/2022,Projeto de concessão;;
O Globo,Luiz Ernesto Magalhães,Licitação para novo sistema de bilhetagem eletrônica no Rio tem lance de R$ 110 milhões e ágio superior a 2.000%,https://oglobo.globo.com/rio/noticia/2022/07/licitacao-para-bilhetagem-eletronica-de-onibus-no-rio-recebe-proposta-de-empresas-e-consorcios.ghtml,12/07/2022,Projeto de concessão;;
Diário do Transporte,Alexandre Pelegi,SPTrans abre consulta pública para licitar apoio tecnológico ao Sistema de Bilhetagem do transporte da capital,https://diariodotransporte.com.br/2022/07/28/sptrans-abre-consulta-publica-para-licitar-apoio-tecnologico-ao-sistema-de-bilhetagem-do-transporte-da-capital/,28/07/2022,Contratos de TI;;
"Folha de S. Paulo,William Cardoso,""Cartão de transporte some em SP, e loja empurra versão 'casada' com crédito e débito"",https://www1.folha.uol.com.br/cotidiano/2022/07/cartao-top-sem-servico-financeiro-some-de-lojas-e-obriga-usuario-a-aceitar-versao-com-credito-e-debito.shtml,28/07/2022,Tecnologias de pagamento";;
G1,Rodrigo Rodrigues; André Graça; Sabina Simonato,Prefeitura de SP retoma gratuidade nos ônibus da cidade para idosos acima de 60 anos e libera mais R$ 170 milhões em subsídios,https://g1.globo.com/sp/sao-paulo/noticia/2022/12/15/prefeitura-de-sp-retoma-gratuidade-nos-onibus-da-cidade-para-idosos-acima-de-60-anos-e-libera-mais-r-170-milhoes-em-subsidios.ghtml,15/12/2022,Regras para uso
G1,---,Hacker invade sistema da SPTrans e 13 milhões de usuários do Bilhete Único têm dados expostos,https://g1.globo.com/sp/sao-paulo/noticia/2022/12/23/hacker-invade-sistema-da-sptrans-e-13-milhoes-de-usuarios-do-bilhete-unico-tem-dados-expostos.ghtml,23/12/2022,Vazamento de dados;;
G1,SP2,SPTV: Cadastro de 13 milhões de usuários do Bilhete Único foram vazados,https://g1.globo.com/sp/sao-paulo/videos-sp2/playlist/videos-do-sp2-de-sexta-feira-23-de-dezembro-de-2022.ghtml,23/12/2022,Vazamento de dados;;
UOL,Estadão Conteúdo,SP: dados de 13 milhões de usuários do Bilhete Único são vazados em ataque hacker,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2022/12/23/sp-dados-de-13-milhoes-de-usuarios-do-bilhete-unico-sao-vazados-em-ataque-hacker.htm,23/12/2022,Vazamento de dados;;
Diário do Transporte,Adamo Bazani;" Alexandre Pelegi,""Vazamento de dados de 13 milhões de usuários do Bilhete Único: Lei exige que SPTrans tem de comprovar que não contribuiu para vulnerabilidade, diz especialista"",https://diariodotransporte.com.br/2022/12/26/vazamento-de-dados-de-13-milhoes-de-usuarios-do-bilhete-unico-lei-exige-que-sptrans-tem-de-comprovar-que-nao-contribuiu-para-vulnerabilidade-diz-especialista/,26/12/2022,Vazamento de dados";
"G1,César Galvão,""Executivo de empresa é o responsável por vazar dados de 13 milhões de usuários do Bilhete Único, diz polícia"",https://g1.globo.com/sp/sao-paulo/noticia/2023/01/31/executivo-de-empresa-e-o-responsavel-por-vazar-dados-de-13-milhoes-de-usuarios-do-bilhete-unico-diz-policia.ghtml,31/01/2023,Vazamento de dados";;
Valor Investe,Gabriela de Cunha,Pagamentos por aproximação e QR Code diminuem 'perrengue' no ônibus e metrô; mas há desafios,https://valorinveste.globo.com/produtos/servicos-financeiros/noticia/2023/02/05/pagamentos-por-aproximacao-e-qr-code-diminuem-perrengue-no-onibus-e-metro-mas-ha-desafios.ghtml,05/02/2023,Tecnologias de pagamento;
Diário do Transporte,Adamo Bazani,ENTREVISTA: Nunes mandou cotar tecnologia do Cartão TOP para o sistema de ônibus da cidade de São Paulo e diz que todos Bilhetes Únicos bloqueados devem ser substituídos até sexta (06),https://diariodotransporte.com.br/2023/07/05/entrevista-nunes-mandou-cotar-tecnologia-do-cartao-top-para-o-sistema-de-onibus-da-cidade-de-sao-paulo-e-diz-que-todos-bilhetes-unicos-bloqueados-devem-ser-substituidos-ate-sexta-06/,05/07/2023,Tecnologias de pagamento;;
Rádio Bandeirantes,---,Prefeito de SP estuda implantar cartão TOP para substituir atual Bilhete Único,https://www.band.uol.com.br/radio-bandeirantes/noticias/prefeito-de-sp-estuda-implantar-cartao-top-para-substituir-atual-bilhete-unico-16615087,07/07/2023,Tecnologias de pagamento;;
